"Org_canonical","lat","long"
"Tufts University",42.4064499,-71.1180771
"Technical University of Munich",48.2654976,11.6692249
"Taipei Medical University",25.0252486,121.5614621
"Oklahoma State University",36.1313523,-97.0890651
"University of Lethbridge",49.6744567,-112.8606051
"McGill University",45.4318428,-73.9452864
"Institute of Genetics and Animal Breeding of the Polish Academy of Sciences",NA,NA
"Encell Co Ltd",NA,NA
"Tsinghua University",40.0022905,116.320963
"Morehouse School of Medicine",33.742984,-84.4120247
"Children s National Hospital",38.927021,-77.0139788
"University of Toronto",43.6634681,-79.3968165
"The University of Queensland Diamantina Institute",NA,NA
"Technion",23.4125696,116.636155
"Swansea University",51.6189634,-3.8841088
"Bordeaux Hospital University",NA,NA
"Syracuse University",43.0171129,-76.1185536
"Placental Research Group Llc",NA,NA
"University of Colorado Anschutz Medical Campus",39.7446494,-104.8386619
"University of New Mexico Health Sciences Center",NA,NA
"Massachusetts General Hospital",42.3628605,-71.068753
"Washington University in St. Louis",38.6472402,-90.3084017
"Md Anderson Cancer Center",29.7076703,-95.3978436
"Nipd",35.1656644,33.3250835
"North Carolina State University",35.7718497,-78.674087
"Celularity",NA,NA
"Ades Efs Cnrs",NA,NA
"Immunity",44.3702867,-72.8572908
"University of Miami Miller School of Medicine",NA,NA
"Oregon Health and Science University",NA,NA
"Children s Hospital of Philadelphia",39.9476976,-75.1949802
"Instituto Nacional De Medicina Genomica Inmegen",NA,NA
"University of Vienna",48.2131278,16.3606855
"Harbin Institute of Technology",45.741589,126.6255626
"Karolinska Institutet",59.3515453,18.0310658
"Universite De Montreal",45.5047577,-73.6145418
"University of Copenhagen",55.6801502,12.572327
"University of Southern California",34.021869,-118.2858579
"Carleton University",45.3858581,-75.6950041
"University of the Philippines Manila",14.5759437,120.9864733
"Tokyo University of Science",35.9183873,139.9084751
"University of Wisconsin",44.5328424,-87.9198844
"Ningbo First Hospital",29.8699867,121.5427313
"Medical College of Wisconsin",43.0438671,-88.0224532
"International Peace Maternity and Child Health Hospital Ipmch",NA,NA
"Cincinnati Children's Hospital Medical Center",39.1408304,-84.5023891
"Dokkyo Medical University",35.8625058,139.8580974
"Washington State University",46.7337716,-117.1498035
