dataset_id
PXD080006
PXD079474
PXD077489
PXD076503
PXD075393
PXD075276
PXD074780
PXD073804
PXD072875
PXD071811
PXD071497
PXD071192
PXD070632
PXD069219
PXD069074
PXD068866
PXD068733
PXD068503
PXD067948
PXD067538
PXD066032
PXD065789
PXD065794
PXD065752
PXD065490
PXD065500
PXD065451
PXD065017
PXD064412
PXD063772
PXD063586
PXD063404
PXD063343
PXD062326
PXD061286
PXD061144
PXD060921
PXD059993
PXD059725
PXD059395
PXD059213
PXD057963
PXD056796
PXD056566
PXD056380
PXD056046
PXD055623
PXD055182
PXD055086
PXD054348
PXD053739
PXD052445
PXD052342
PXD052106
PXD052032
PXD051974
PXD051694
PXD051697
PXD051516
PXD051236
PXD051174
PXD050237
PXD050049
PXD050024
PXD048972
PXD048789
PXD048494
PXD048344
PXD048340
PXD048248
PXD047766
PXD047704
PXD047445
PXD047222
PXD047037
PXD045365
PXD045297
PXD044330
PXD043480
PXD043483
PXD043339
PXD042613
PXD042565
PXD041917
PXD041694
PXD041325
PXD037892
PXD041088
PXD040311
PXD039930
PXD039719
PXD039643
PXD039611
PXD039568
PXD039402
PXD039339
PXD038856
PXD038133
PXD037388
PXD037036
PXD036953
PXD036535
PXD036368
PXD036306
PXD036109
PXD035768
PXD035673
PXD035202
PXD035085
PXD034963
PXD034357
PXD034108
PXD033798
PXD033750
PXD033289
PXD033006
PXD032981
PXD032792
PXD032074
PXD031845
PXD031765
PXD031795
PXD030342
PXD030199
PXD030200
PXD029966
PXD029146
PXD028734
PXD028343
PXD028162
PXD028111
PXD027581
PXD027573
PXD027539
PXD027383
PXD026858
PXD026342
PXD026243
PXD025764
PXD025711
PXD025390
PXD025006
PXD024759
PXD024154
PXD023964
PXD023849
PXD023777
PXD023454
PXD023139
PXD021391
PXD021873
PXD020543
PXD020438
PXD020329
PXD020192
PXD019391
PXD019354
PXD019331
PXD018999
PXD018302
PXD018160
PXD017195
PXD015087
PXD014572
PXD010154
PXD014300
PXD014083
PXD014019
PXD013617
PXD012706
PXD012478
PXD012034
PXD011783
PXD011722
PXD011443
PXD010899
PXD010831
PXD010757
PXD010746
PXD010630
PXD010364
PXD009825
PXD009480
PXD009361
PXD009118
PXD009025
PXD008970
PXD008600
PXD008448
PXD008368
PXD008079
PXD008078
PXD007721
PXD006991
PXD006755
PXD006654
PXD006291
PXD005517
PXD005045
PXD004951
PXD004956
PXD004955
PXD004723
PXD003419
PXD003145
PXD003003
PXD002967
PXD002578
PXD002391
PXD002183
PXD001840
PXD001836
PXD000561
PXD000754
PXD000744
PXD000473
PRD000474
PRD000032
